journal_no,journal_accreditation,journal_url
963,Journal of Honai Math,http://journalfkipunipa.org/index.php/jhm
964,ZISWAF : Jurnal Zakat dan Wakaf,http://journal.stainkudus.ac.id/index.php/Ziswaf
965,LENTERA: Jurnal Ilmu Dakwah dan Komunikasi,https://journal.iain-samarinda.ac.id/index.php/lentera
966,"KEMBARA: Jurnal Keilmuan Bahasa, Sastra, dan Pengajarannya",http://ejournal.umm.ac.id/index.php/kembara/article/view/2322
967,"LINGUA: Journal of Language, Literature and Teaching",http://lingua.pusatbahasa.or.id/index.php/lingua/
968,JITK (Jurnal Ilmu Pengetahuan dan Teknologi Komputer),http://ejournal.nusamandiri.ac.id/index.php/jitk
969,ISM (Intisari Sains Medis) : Jurnal Kedokteran,https://isainsmedis.id/index.php/ism
970,Edukasi: Jurnal Pendidikan dan Pengajaran,http://jurnal.radenfatah.ac.id/index.php/edukasi
971,Jurnal Studi Agama dan Masyarakat,http://e-journal.iain-palangkaraya.ac.id/index.php/jsam
972,Jurnal Hutan Tropis,http://ppjp.unlam.ac.id/journal/index.php/jht/index
973,International Journal of Islamic Business and Economics (IJIBEC),http://e-journal.iainpekalongan.ac.id/index.php/IJIBEC
974,Lentera Pendidikan : Jurnal Ilmu Tarbiyah dan Keguruan,http://journal.uin-alauddin.ac.id/index.php/lentera_pendidikan
975,IT Journal Research and Development,http://journal.uir.ac.id/index.php/ITJRD
976,iMProvement,http://journal.unj.ac.id/unj/index.php/improvement/index
977,Jurnal Kajian Wilayah,http://jkw.psdr.lipi.go.id/index.php/jkw
978,Unnes Journal of Mathematics Education,https://journal.unnes.ac.id/sju/index.php/ujme
979,ILKOM Jurnal Ilmiah,http://jurnal.fikom.umi.ac.id/index.php/ILKOM
980,Al-Mudarris : Journal of Education,http://e-journal.staima-alhikam.ac.id/index.php/al-mudarris
981,Jurnal Penelitian Pendidikan IPA (JPPIPA),http://jppipa.unram.ac.id/index.php/jppipa
982,BHUMI: Jurnal Agraria dan Pertanahan,https://jurnalbhumi.stpn.ac.id/index.php/JB
983,Nazhruna: Jurnal Pendidikan Islam,http://e-journal.ikhac.ac.id/index.php/NAZHRUNA/index
984,Jurnal Akuntabilitas Manajemen Pendidikan,http://journal.uny.ac.id/index.php/jamp
985,Jurnal Inspirasi Bisnis dan Manajemen,http://jurnal.unswagati.ac.id/index.php/jibm
986,Al-Mashlahah: Jurnal Hukum Islam dan Pranata Sosial Islam,https://jurnal.staialhidayahbogor.ac.id/index.php/am/index
987,Evaluasi: Jurnal Manajemen Pendidikan Islam,http://e-journal.staima-alhikam.ac.id/index.php/evaluasi
988,Jurnal Gramatika: Jurnal Penelitian Pendidikan Bahasa dan Sastra Indonesia,http://ejournal.stkip-pgri-sumbar.ac.id/index.php/jurnal-gramatika/index
989,Muqtasid : Jurnal Ekonomi dan Perbankan Syariah,http://muqtasid.iainsalatiga.ac.id/index.php/muqtasid
990,Jurnal Ilmu Peternakan dan Veteriner Tropis (Journal of Tropical Animal and Veterinary Science),https://journal.fapetunipa.ac.id/index.php/JIPVET/issue/archive
991,Unnes Science Education Journal,https://journal.unnes.ac.id/sju/index.php/usej
992,Journal of ELT Research : The Academic Journal of Studies in English Language Teaching and Learning,http://journal.uhamka.ac.id/index.php/jer
993,Al Amwal: Jurnal Ekonomi dan Perbankan Syari'ah,http://www.syekhnurjati.ac.id/jurnal/index.php/amwal
994,Benefit: Jurnal Manajemen dan Bisnis,http://journals.ums.ac.id/index.php/benefit/issue/archive
995,Jurnal Pendidikan Sains,http://journal.um.ac.id/index.php/jps/index
996,Jurnal Inovasi Teknologi Pendidikan,http://journal.uny.ac.id/index.php/jitp
997,Interaksi : Jurnal Ilmu Komunikasi,http://www.ejournal.undip.ac.id/index.php/interaksi
998,Media Ekonomi,https://www.trijurnal.lemlit.trisakti.ac.id/index.php/medek
999,Jurnal Agroteknologi,http://ejournal.uin-suska.ac.id/index.php/agroteknologi
1000,Jurnal Nasional Pendidikan Teknik Informatika : JANAPATI,http://ejournal.undiksha.ac.id/index.php/janapati
1001,Ta'dibuna: Jurnal Pendidikan Islam,http://ejournal.uika-bogor.ac.id/index.php/TADIBUNA/
1002,AULADUNA: Jurnal Pendidikan Dasar Islam,http://journal.uin-alauddin.ac.id/index.php/auladuna/about
1003,MUWAZAH : jurnal kajian gender,http://e-journal.iainpekalongan.ac.id/index.php/Muwazah/index
1004,Dinamika Lingkungan Indonesia,https://dli.ejournal.unri.ac.id/index.php/DL
1005,International Journal of Marine Engineering Innovation and Research,http://iptek.its.ac.id/index.php/ijmeir
1006,Jurnal Manajemen dan Keuangan,https://ejurnalunsam.id/index.php/jmk
1007,Media Teknik Sipil,http://ejournal.umm.ac.id/index.php/jmts
1008,Bahastra,http://journal.uad.ac.id/index.php/BAHASTRA
1009,JABE (Journal of Applied Business and Economic),https://journal.lppmunindra.ac.id/index.php/JABE
1010,Jurnal Studi Al-Qur'an,http://journal.unj.ac.id/unj/index.php/jsq/index
1011,Manageria: Jurnal Manajemen Pendidikan Islam,http://ejournal.uin-suka.ac.id/tarbiyah/index.php/manageria/index
1012,JOMSIGN: Journal of Multicultural Studies in Guidance and Counseling,http://ejournal.upi.edu/index.php/JOMSIGN
1013,Conciencia,http://jurnal.radenfatah.ac.id/index.php/conciencia
1014,JPIS (Jurnal Pendidikan Ilmu Sosial),http://ejournal.upi.edu/index.php/jpis
1015,JIP (Jurnal Ilmu Pemerintahan) : Kajian Ilmu Pemerintahan dan Politik Daerah,http://e-journal.upstegal.ac.id/index.php/JIP/
1016,Jurnal Psikologi Pendidikan dan Konseling: Jurnal Kajian Psikologi Pendidikan dan Bimbingan Konseling,http://ojs.unm.ac.id/JPPK
1017,ODONTO Dental Journal,http://jurnal.unissula.ac.id/index.php/odj/index
1018,Jurnal RAK (Riset Akuntansi Keuangan),http://jurnal.untidar.ac.id/index.php/RAK
1019,Indonesian Journal of Science and Mathematics Education,http://ejournal.radenintan.ac.id/index.php/IJSME
1020,Journal of Marine and Aquatic Sciences,http://ojs.unud.ac.id/index.php/jmas
1021,INTERNATIONAL JOURNAL OF PEDAGOGY AND TEACHER EDUCATION,https://jurnal.uns.ac.id/ijpte
1022,Sistemasi: Jurnal Sistem Informasi,http://sistemasi.ftik.unisi.ac.id/index.php/stmsi
1023,Briliant: Jurnal Riset dan Konseptual,http://jurnal.unublitar.ac.id/index.php/briliant
1024,Jurnal Pendidikan Matematika dan IPA,http://jurnal.untan.ac.id/index.php/PMP/index
1025,ENGLISH FRANCA : Academic Journal of English Language and Education,http://journal.staincurup.ac.id/index.php/english
1026,Jurnal Matematika : MANTIK,http://mantik.uinsby.ac.id/index.php/Mantik1/index
1027,Jurnal Katalisator,http://ejournal.kopertis10.or.id/index.php/katalisator/index
1028,VOLT : Jurnal Ilmiah Pendidikan Teknik Elektro,http://jurnal.untirta.ac.id/index.php/VOLT/index
1029,AcTion: Aceh Nutrition Journal,http://ejournal.poltekkesaceh.ac.id/index.php/an
1030,Nidhomul Haq : Jurnal Manajemen Pendidikan Islam,http://e-journal.ikhac.ac.id/index.php/nidhomulhaq/index
1031,"ETERNAL (English, Teaching, Learning and Research Journal)",http://journal.uin-alauddin.ac.id/index.php/Eternal
1032,ThufuLA : Jurnal Inovasi Pendidikan Guru Raudhatul Athfal,http://journal.stainkudus.ac.id/index.php/thufula
1033,Jurnal Biota,http://jurnal.radenfatah.ac.id/index.php/biota
1034,Jurnal Ipteks Terapan,http://ejournal.kopertis10.or.id/index.php/jit/
1035,Jurnal Presipitasi : Media Komunikasi dan Pengembangan Teknik Lingkungan,https://ejournal.undip.ac.id/index.php/presipitasi
1036,Communicatus: Jurnal Ilmu komunikasi,http://journal.uinsgd.ac.id/index.php/cjik/
1037,Jurnal Ilmiah Ilmu Pemerintahan,https://ejournal2.undip.ac.id/index.php/jiip/index
1038,Prisma Sains : Jurnal Pengkajian Ilmu dan Pembelajaran Matematika dan IPA IKIP Mataram,http://ojs.ikipmataram.ac.id/index.php/prismasains
1039,Jurnal AGRISEP: Kajian Masalah Sosial Ekonomi Pertanian dan Agribisnis,http://ejournal.unib.ac.id/index.php/agrisep
1040,Madrasah: Jurnal Pendidikan dan Pembelajaran Dasar,http://ejournal.uin-malang.ac.id/index.php/madrasah
1041,Al Qalam,http://jurnal.uinbanten.ac.id/index.php/alqalam/index
1042,Fikrotuna Jurnal Pendidikan dan Manajemen Islam,http://ejournal.kopertais4.or.id/madura/index.php/fikrotuna/index
1043,"Kreano, Jurnal Matematika Kreatif-Inovatif",https://journal.unnes.ac.id/nju/index.php/kreano/index
1044,Jurnal Inovasi dan Pembelajaran Fisika,https://ejournal.unsri.ac.id/index.php/jipf
1045,DiH: Jurnal Ilmu Hukum,http://jurnal.untag-sby.ac.id/index.php/dih
1046,Jurnal Epidemiologi Kesehatan Komunitas,https://ejournal2.undip.ac.id/index.php/jekk
1047,Humanika,https://ejournal.undip.ac.id/index.php/humanika
1048,UNIFIKASI : Jurnal Ilmu Hukum,https://journal.uniku.ac.id/index.php/unifikasi/index
1049,International Journal of Applied Sciences in Tourism and Events,http://ojs.pnb.ac.id/index.php/IJASTE
1050,Jurnal Penelitian dan Pengkajian Ilmu Pendidikan: e-Saintika,https://e-journal.litpam.org/index.php/e-Saintika/index
1051,Journal of Computer Science and Informatics Engineering (J-Cosine),http://jcosine.if.unram.ac.id/index.php/jcosine
1052,The Indonesian Journal of Public Health,https://e-journal.unair.ac.id/IJPH
1053,JATISI (Jurnal Teknik Informatika dan Sistem Informasi),http://jurnal.mdp.ac.id/index.php/jatisi/
1054,Jurnal Ilmu Ekonomi dan Pembangunan ,https://jurnal.uns.ac.id/jiep
1055,"FIKRI : Jurnal Kajian Agama, Sosial dan Budaya",http://journal.iaimnumetrolampung.ac.id/index.php/jf
1056,Journal of Physical Education Health and Sport,http://journal.unnes.ac.id/nju/index.php/jpehs
1057,"Ihtifaz: Journal of Islamic Economics, Finance, and Banking",http://journal2.uad.ac.id/index.php/ijiefb
1058,Vegetalika,https://jurnal.ugm.ac.id/jbp
1059,JURNAL PENDIDIKAN GEOGRAFI,http://journal2.um.ac.id/index.php/jpg/index
1060,Journal of Health Science and Prevention,http://jurnalfpk.uinsby.ac.id/index.php/jhsp
1061,JPPUMA: Jurnal Ilmu Pemerintahan dan Sosial Politik UMA (Journal of Governance and Political Social UMA),http://ojs.uma.ac.id/index.php/jppuma/index
1062,Sriwijaya International Journal of Dynamic Economics and Business,http://sijdeb.unsri.ac.id/index.php/sijdeb
1063,Jurnal Ilmiah Al-Syir'ah,http://journal.iain-manado.ac.id/index.php/JIS/index
1064,Jurnal Pendidikan Humaniora,http://journal.um.ac.id/index.php/jph/index
1065,"Beyond Words : a journal on language education, applied linguistics and curriculum & instructions ",http://journal.wima.ac.id/index.php/BW
1066,Jurnal Kesehatan Prima,http://jkp.poltekkes-mataram.ac.id/index.php/home
1067,Journal An-Nafs: Kajian Penelitian Psikologi,https://ejournal.iai-tribakti.ac.id/index.php/psikologi
1068,Jurnal Pendidikan Biologi,http://journal2.um.ac.id/index.php/jpb
1069,Jurnal Ilmu Kesehatan Masyarakat : The Public Health Science Journal,http://journals.stikim.ac.id/index.php/jikm/jourhist
1070,JURNAL SIMBOLIKA : Research and Learning in Comunication Study,http://ojs.uma.ac.id/index.php/simbolika
1071,(JTERA) Jurnal Teknologi Rekayasa,http://jtera.polteksmi.ac.id
1072,Jurnal Bahasa Rupa,http://jurnal.stiki-indonesia.ac.id/index.php/jurnalbahasarupa
1073,Jurnal Pendidikan Fisika,http://journal.unismuh.ac.id/index.php/jpf/index
1074,Harmoni,http://jurnalharmoni.kemenag.go.id/index.php/harmoni
1075,Pedagogia jurnal pendidikan,http://ojs.umsida.ac.id/index.php/pedagogia
1076,MAQDIS : JURNAL KAJIAN EKONOMI ISLAM,http://journal.febi.uinib.ac.id/index.php/maqdis/index
1077,Jurnal Pendidikan Jasmani dan Olahraga,http://ejournal.upi.edu/index.php/penjas/index
1078,Jurnal Akuntansi Aktual (JAA) ,http://journal2.um.ac.id/index.php/jaa/index
1079,"Izdihar : Journal of Arabic Language Teaching, Linguistics, and Literature",http://ejournal.umm.ac.id/index.php/izdihar
1080,Islamic Communication Journal,http://journal.walisongo.ac.id/index.php/icj
1081,Record and Library Journal,https://e-journal.unair.ac.id/RLJ
1082,Fibonacci : Jurnal Pendidikan Matematika dan Matematika,https://jurnal.umj.ac.id/index.php/fbc
1083,KONSELI: Jurnal Bimbingan dan Konseling (E-Journal),http://ejournal.radenintan.ac.id/index.php/konseli/index
1084,Iqtishoduna,http://ejournal.uin-malang.ac.id/index.php/ekonomi
1085,Jurnal Sumberdaya Akuatik Indopasifik,https://ejournalfpikunipa.ac.id/index.php/JSAI
1086,JRMB (Jurnal Riset Manajemen dan Bisnis) Fakultas Ekonomi UNIAT,http://jrmb.ejournal-feuniat.net/index.php/JRMB/index
1087,CSRID (Computer Science Research and Its Development Journal),http://csrid.potensi-utama.ac.id/index.php/CSRID
1088,JPPM (Jurnal Pendidikan dan Pemberdayaan Masyarakat),http://journal.uny.ac.id/index.php/jppm
1089,JPSCR: Journal of Pharmaceutical Science and Clinical Research,https://jurnal.uns.ac.id/jpscr/index
1090,Journal of Natural Science and Integration,http://ejournal.uin-suska.ac.id/index.php/JNSI/index
1091,"Al-Mashrafiyah : Jurnal Ekonomi, Keuangan, dan Perbankan Syariah",http://journal.uin-alauddin.ac.id/index.php/almashrafiyah
1092,Al-Hikmah: Jurnal Agama dan Ilmu Pengetahuan,http://journal.uir.ac.id/index.php/alhikmah
1093,JURNAL ILMIAH DIDAKTIKA: Media Ilmiah Pendidikan dan Pengajaran,http://jurnal.ar-raniry.ac.id/index.php/didaktika/issue/archive
1094,Jurnal Enggano,http://ejournal.unib.ac.id/index.php/jurnalenggano
1095,Jurnal Manajemen dan Kewirausahaan,http://jurnal.unmer.ac.id/index.php/jmdk
1096,PHARMACY: Jurnal Farmasi Indonesia (Pharmaceutical Journal of Indonesia),http://jurnalnasional.ump.ac.id/index.php/PHARMACY/index
1097,Nalars: Jurnal Arsitektur FT-UMJ,https://jurnal.umj.ac.id/index.php?journal=nalars
1098,E-Jurnal Akuntansi,https://ojs.unud.ac.id/index.php/Akuntansi
1099,Ternak Tropika,http://ternaktropika.ub.ac.id/index.php/tropika
1100,EduHumaniora: Jurnal Pendidikan Dasar,http://ejournal.upi.edu/index.php/eduhumaniora
1101,Jurnal Sains Psikologi,http://journal2.um.ac.id/index.php/JSPsi
1102,EduChemia (Jurnal Kimia dan Pendidikan),http://jurnal.untirta.ac.id/index.php/EduChemia
1103,Al-Athfal: Jurnal Pendidikan Anak,http://ejournal.uin-suka.ac.id/tarbiyah/index.php/alathfal
1104,Jurnal Samudra Ekonomi dan Bisnis,https://ejurnalunsam.id/index.php/jseb
1105,The Journal of Muhammadiyah Medical Laboratory Tecnologist,http://journal.um-surabaya.ac.id/index.php/analis
1106,Jurnal Teknologi Pertanian Andalas,http://tpa.fateta.unand.ac.id/index.php/JTPA
1107,Profesi Pendidikan Dasar,http://journals.ums.ac.id/index.php/ppd
1108,Jurnal Pembaharuan Hukum,http://jurnal.unissula.ac.id/index.php/PH/index
1109,MATRIX - Jurnal Manajemen Teknologi dan Informatika,http://ojs.pnb.ac.id/index.php/matrix
1110,Digital Zone: Jurnal Teknologi Informasi dan Komunikasi,https://journal.unilak.ac.id/index.php/dz/index
1111,Journal of Applied Geospatial Information (JAGI),http://jurnal.polibatam.ac.id/index.php/JAGI/issue/archive
1112,Jurnal Fitofarmaka Indonesia,http://jurnal.farmasi.umi.ac.id/index.php/fitofarmakaindo/issue/view/27/showToc
1113,Jurnal Kesehatan Andalas,http://jurnal.fk.unand.ac.id/index.php/jka/index
1114,Jurnal Kebijakan Kesehatan Indonesia : JKKI,https://jurnal.ugm.ac.id/jkki
1115,JINoP (Jurnal Inovasi Pembelajaran),http://ejournal.umm.ac.id/index.php/jinop
1116,ELSE (Elementary School Education Journal) : Jurnal Pendidikan dan Pembelajaran Sekolah Dasar,http://journal.um-surabaya.ac.id/index.php/pgsd
1117,JP-BSI (Jurnal Pendidikan Bahasa dan Sastra Indonesia),http://journal.stkipsingkawang.ac.id/index.php/JP-BSI
1118,Jurnal Pendidikan Keperawatan Indonesia,http://ejournal.upi.edu/index.php/JPKI/index
1119,Jurnal Kesehatan Manarang,http://e-journal.poltekkesmamuju.ac.id/index.php/jkm
1120,Research Journal of Life Science,http://rjls.ub.ac.id/index.php/rjls
1121,JMSNI (Journal of Maritime Studies and National Integration),https://ejournal2.undip.ac.id/index.php/jmsni
1122,Edulib : Journal of Library and Information Science,http://ejournal.upi.edu/index.php/edulib
1123,Journal of Regional and Rural Development Planning (Jurnal Perencanaan Pembangunan Wilayah dan Perdesaan),http://journal.ipb.ac.id/p2wd
1124,Jurnal Ilmiah Manuntung,https://jurnal.akfarsam.ac.id/index.php/jim_akfarsam
1125,Jurnal Riset Komunikasi (JURKOM),http://jurnalrisetkomunikasi.org/index.php/jrk
1126,RUAS (Review of Urbanism and Architectural Studies),http://ruas.ub.ac.id/index.php/ruas
1127,Fountain of Informatics Journal,https://ejournal.unida.gontor.ac.id/index.php/FIJ/
1128,Share : Social Work Journal,http://jurnal.unpad.ac.id/share
1129,Jurnal Agribisnis Indonesia (Journal of Indonesian Agribusiness),http://journal.ipb.ac.id/index.php/jagbi/
1130,OKARA: Jurnal Bahasa dan Sastra,http://ejournal.stainpamekasan.ac.id/index.php/okara
1131,"Journal The Winners : Economics, Business, Management, and Information System Journal",https://journal.binus.ac.id/index.php/winners/index
1132,Journal of Applied Geology,http://jurnal.ugm.ac.id/jag
1133,Tarbawy: Indonesian Journal of Islamic Education,https://ejournal.upi.edu/index.php/tarbawy
1134,INDONESIAN LANGUAGE EDUCATION AND LITERATURE,http://www.syekhnurjati.ac.id/jurnal/index.php/jeill/index
1135,Jurnal Sistem dan Manajemen Industri,http://e-jurnal.lppmunsera.org/index.php/JSMI
1136,Islamadina : Jurnal Pemikiran Islam,http://jurnalnasional.ump.ac.id/index.php/ISLAMADINA/index
1137,JEMA: Jurnal Ilmiah Bidang Akuntansi dan Manajemen,http://riset.unisma.ac.id/index.php/jema/
1138,Jurnal Agrotek Tropika,http://jurnal.fp.unila.ac.id/index.php/JA
1139,IP (Indonesian Perspective),https://ejournal.undip.ac.id/index.php/ip
1140,Jurnal Ilmiah Ibnu Sina (JIIS): Ilmu Farmasi dan Kesehatan,http://jiis.akfar-isfibjm.ac.id/index.php/JIIS/index
1141,Cakrawala : Jurnal Studi Islam,http://journal.ummgl.ac.id/index.php/cakrawala
1142,Borneo Journal of Pharmacy,http://journal.umpalangkaraya.ac.id/index.php/bjop/
1143,Jurnal Pendidikan Matematika RAFA,http://jurnal.radenfatah.ac.id/index.php/jpmrafa
1144,Jurnal Ilmiah Rekayasa Pertanian dan Biosistem,http://jrpb.unram.ac.id/index.php/jrpb
1145,Jurnal Komunikator,http://journal.umy.ac.id/index.php/jkm
1146,Cakradonya Dental Journal,http://www.jurnal.unsyiah.ac.id/cdj
1147,Jurnal Nasional Teknologi dan Sistem Informasi (TEKNOSI),http://teknosi.fti.unand.ac.id/index.php/teknosi/issue/archive
1148,Jurnal Vokasi Indonesia,http://jvi.ui.ac.id/index.php/jvi
1149,Tech-E,https://jurnal.ubd.ac.id/index.php/te
1150,Jurnal INFOTEL,http://ejournal.st3telkom.ac.id/index.php/infotel/index
1151,Journal of Applied Agricultural Science and Technology,http://kinfopolitani.com/index.php/JAAST
1152,COMPUTER ENGINEERING AND APPLICATIONS JOURNAL (ComEngApp),https://comengapp.unsri.ac.id/index.php/comengapp
1153,NOBEL: Journal of Literature and Language Teaching,http://jurnalfahum.uinsby.ac.id/index.php/nobel
1154,CYCLOTRON : JURNAL TEKNIK ELEKTRO,http://journal.um-surabaya.ac.id/index.php/cyclotron
1155,Indonesian Journal of Chemical Research,https://ojs3.unpatti.ac.id/index.php/ijcr
1156,"Nutri-Sains: Jurnal Gizi, Pangan dan Aplikasinya",http://journal.walisongo.ac.id/index.php/Nutri-Sains
1157,Momentum: Physics Education Journal,http://ejournal.unikama.ac.id/index.php/momentum
1158,JTAM (Jurnal Teori dan Aplikasi Matematika),http://journal.ummat.ac.id/index.php/jtam/index
1159,Jurnal Gizi dan Dietetik Indonesia (Indonesian Journal of Nutrition and Dietetics),https://ejournal.almaata.ac.id/index.php/IJND
1160,Inovbiz : Jurnal Inovasi Bisnis,http://ejournal.polbeng.ac.id/index.php/IBP
1161,IJIE (Indonesian Journal of Informatics Education),https://jurnal.uns.ac.id/ijie
1162,Jorpres (Jurnal Olahraga Prestasi),https://journal.uny.ac.id/index.php/jorpres
1163,Jurnal Civics: Media Kajian Kewarganegaraan,https://journal.uny.ac.id/index.php/civics/index
1164,Jurnal RESISTOR,https://jurnal.stiki-indonesia.ac.id/index.php/jurnalresistor
1165,Jurnal Fisika FLUX : Jurnal Ilmiah Fisika FMIPA Universitas Lambung Mangkurat,https://ppjp.ulm.ac.id/journal/index.php/f
1166,"Edubiotik : Jurnal Pendidikan, Biologi dan Terapan",http://ejurnal.budiutomomalang.ac.id/index.php/edubiotik
1167,Jurnal Psikologi Ulayat: Indonesian Journal of Indigenous Psychology,http://jpu.k-pin.org/index.php/jpu/index
1168,Edcomtech: Jurnal Kajian Teknologi Pendidikan,http://journal2.um.ac.id/index.php/edcomtech/index
1169,Jurnal Pendidikan Bahasa dan Sastra,http://ejournal.upi.edu/index.php/BS_JPBSP
1170,Jurnal Riset Akuntansi dan Keuangan,http://ejournal.upi.edu/index.php/JRAK
1171,JELTL (Journal of English Language Teaching and Linguistics),http://jeltl.org/index.php/jeltl/index
1172,Dia: Jurnal Administrasi Publik,http://jurnal.untag-sby.ac.id/index.php/dia/index
1173,El Dinar: Jurnal Keuangan dan Perbankan Syariah,http://ejournal.uin-malang.ac.id/index.php/eldinar
1174,Journal of Indonesian Applied Economics,http://jiae.ub.ac.id/index.php/jiae
1175,Jurnal Akademika Kimia,http://jurnal.untad.ac.id/jurnal/index.php/JAK
1176,Sekolah Dasar:Kajian Teori dan Praktik Pendidikan,http://journal2.um.ac.id/index.php/sd/
1177,Jurnal IPTEK,http://ejurnal.itats.ac.id/index.php/iptek
1178,Teknika,http://ejournal.ikado.ac.id/index.php/teknika
1179,"Jurnal Kependidikan: Jurnal Hasil Penelitian dan Kajian Kepustakaan di Bidang Pendidikan, Pengajaran, dan Pembelajaran",http://ojs.ikipmataram.ac.id/index.php/jurnalkependidikan
1180,"SJDGGE (Sumatra Journal of Disaster, Geography and Geography Education)",http://sjdgge.ppj.unp.ac.id/index.php/Sjdgge
1181,Jurnal Kimia (Journal of Chemistry),https://ojs.unud.ac.id/index.php/jchem
1182,Didaktika Tauhidi : Jurnal Pendidikan Guru Sekolah Dasar,http://ojs.unida.ac.id/index.php/jtdik
1183,Nurseline Journal,https://jurnal.unej.ac.id/index.php/NLJ
1184,Madah,http://ejurnalbalaibahasa.id/index.php/madah
1185,MediaTor,https://ejournal.unisba.ac.id/index.php/mediator
1186,ELEMENTARY: Jurnal Ilmiah Pendidikan Dasar,http://e-journal.metrouniv.ac.id/index.php/elementary/index
1187,IJDS:Indonesian Journal of Disability Studies,https://ijds.ub.ac.id/
1188,JBKI (Jurnal Bimbingan Konseling Indonesia),http://journal.stkipsingkawang.ac.id/index.php/JBKI
1189,Jurnal Kebidanan,http://ejournal.poltekkes-smg.ac.id/ojs/index.php/jurkeb/
1190,JMSP (Jurnal Manajemen dan Supervisi Pendidikan),http://journal2.um.ac.id/index.php/jmsp
1191,Engagement : Jurnal Pengabdian Kepada Masyarakat,http://engagement.fkdp.or.id/index.php/engagement
1192,At-Tibyan: Jurnal Ilmu Alquran dan Tafsir,https://journal.iainlangsa.ac.id/index.php/tibyan
1193,Journal of Earth Energy Engineering,http://journal.uir.ac.id/index.php/JEEE/
1194,Rekayasa Sipil,http://rekayasasipil.ub.ac.id/index.php/rs
1195,INTEK: Jurnal Penelitian,http://jurnal.poliupg.ac.id/index.php/Intek
1196,SOSHUM - Jurnal Sosial dan Humaniora,http://ojs.pnb.ac.id/index.php/SOSHUM
1197,Journal of Holistic Nursing Science,http://journal.ummgl.ac.id/index.php/nursing
1198,Journal of Nutrition College,https://ejournal3.undip.ac.id/index.php/jnc
1199,Ilmu Pendidikan: Jurnal Kajian Teori dan Praktik Kependidikan,http://journal2.um.ac.id/index.php/jktpk
1200,Aksiologiya: Jurnal Pengabdian Kepada Masyarakat,http://journal.um-surabaya.ac.id/index.php/Axiologiya/index
1201,VISI : Jurnal Ilmiah Pendidik dan Tenaga Kependidikan Pendidikan Non Formal,http://journal.unj.ac.id/jurnalfip/index.php/visi/index
1202,Savana Cendana,https://savana-cendana.id/index.php/SC
1203,Asian TEFL: Journal of Language Teaching and Applied Linguistics,http://www.asian-tefl.com/index.php/asiantefl
1204,Indonesian Journal of Science and Education,http://jurnal.untidar.ac.id/index.php/ijose/index
1205,JAKP Jurnal Administrasi dan Kebijakan Publik,http://jakp.fisip.unand.ac.id/index.php/jakp
1206,Jurnal GALUNG TROPIKA,http://jurnalpertanianumpar.com/index.php/jgt/
1207,Komunika: Jurnal Dakwah dan Komunikasi,http://ejournal.iainpurwokerto.ac.id/index.php/komunika/
1208,Mimbar Keadilan,http://jurnal.untag-sby.ac.id/index.php/mimbarkeadilan/index
1209,IJBE (Integrated Journal of Business and Economics),http://ijbe-research.com/
1210,Jurnal Fourier,http://fourier.or.id/
1211,Jurnal Psikologi Teori dan Terapan,https://journal.unesa.ac.id/index.php/jptt
1212,MILLATI: Journal of Islamic Studies and Humanities,http://millati.iainsalatiga.ac.id/index.php/millati
1213,"Lentera Pustaka: Jurnal Kajian Ilmu Perpustakaan, Informasi dan Kearsipan",http://ejournal.undip.ac.id/index.php/lpustaka
1214,Iqtishadia: Jurnal Ekonomi dan Perbankan Syariah,http://ejournal.stainpamekasan.ac.id/index.php/iqtishadia/index
1215,Jurnal Planologi,http://jurnal.unissula.ac.id/index.php/psa
1216,Jurnal Ilmu Fisika (JIF),http://jif.fmipa.unand.ac.id/index.php/jif
1217,Nature : National Academic Journal of Architecture,http://journal.uin-alauddin.ac.id/index.php/nucturenature/index
1218,Agrotechnology Research Journal,http://jurnal.uns.ac.id/arj
1219,Metal Indonesia,http://www.jurnalmetal.or.id/jmi/
1220,IJISH (International Journal of Islamic Studies and Humanities),http://journal2.uad.ac.id/index.php/ijish
1221,Agroland: The Agricultural Sciences Journal,http://jurnal.untad.ac.id/jurnal/index.php/AgrolandInternational/index
1222,Al-Marshad: Jurnal Astronomi Islam dan Ilmu-Ilmu Berkaitan,http://jurnal.umsu.ac.id/index.php/almarshad
1223,Jurnal Info Kesehatan ,http://jurnal.poltekeskupang.ac.id/index.php/infokes
1224,Jurnal Kesehatan,http://ejurnal.poltekkes-tjk.ac.id/index.php/JK/
1225,Journal of Psychological Science and Profession,http://jurnal.unpad.ac.id/jpsp
1226,Math Didactic: Jurnal Pendidikan Matematika,http://jurnal.stkipbjm.ac.id/index.php/math
1227,Vision : Journal of Language and Foreign Language Learning,http://journal.walisongo.ac.id/index.php/vision
1228,MCBS (Molecular and Cellular Biomedical Sciences),https://cellbiopharm.com/ojs/index.php/MCBS/index
1229,Jurnal Ekonomi Modernisasi,http://ejournal.unikama.ac.id/index.php/JEKO
1230,Jurnal IPTEK-KOM (Jurnal Ilmu Pengetahuan dan Teknologi Komunikasi),https://jurnal.kominfo.go.id/index.php/iptekkom
1231,JCH (Jurnal Cendekia Hukum),http://e-jurnal.stih-pm.ac.id/index.php/cendekeahukum
1232,Jurnal Penelitian Agama Hindu,http://ejournal.ihdn.ac.id/index.php/JPAH
