journal_no,journal_name,journal_accreditation,journal_url
60,Paramita: Historical Studies Journal,S1,http://journal.unnes.ac.id/nju/index.php/paramita
61,Electronic Journal of Graph Theory and Applications,S1,http://www.ejgta.org/index.php/ejgta
62,Kukila,S1,http://kukila.org/index.php/KKL
63,International Journal of Technology,S1,http://www.ijtech.eng.ui.ac.id/old/index.php/journal
64,Critical Care and Shock,S1,http://criticalcareshock.org/
65,Forum Penelitian Agro Ekonomi,S2,http://ejurnal.litbang.pertanian.go.id/index.php/fae
66,Jurnal Aplikasi Manajemen,S2,http://jurnaljam.ub.ac.id/index.php/jam/index
67,Jurnal Penelitian Pascapanen Pertanian,S2,http://ejurnal.litbang.pertanian.go.id/index.php/jpasca
68,Jurnal Agronomi Indonesia (Indonesian Journal of Agronomy),S2,http://journal.ipb.ac.id/index.php/jurnalagronomi
69,Berita Biologi,S2,http://e-journal.biologi.lipi.go.id/index.php/berita_biologi
70,Jurnal Ekologi Kesehatan,S2,http://ejournal.litbang.depkes.go.id/index.php/jek/issue/archive
71,Riset Akuntansi dan Keuangan Indonesia,S2,http://journals.ums.ac.id/index.php/reaksi
72,Marine Research In Indonesia,S2,http://mrijournal.or.id/index.php/MRI
73,KEMAS : Jurnal Kesehatan Masyarakat,S2,http://journal.unnes.ac.id/nju/index.php/kemas
74,Buletin Plasma Nutfah,S2,http://ejurnal.litbang.pertanian.go.id/index.php/bpn
75,Jurnal Ilmu Teknologi Kayu Tropis,S2,http://ejournalmapeki.org/index.php/JITKT
76,JOIN (Jurnal Online Informatika),S2,http://join.if.uinsgd.ac.id/index.php/join
77,Buletin Penelitian Tanaman Rempah dan Obat,S2,http://ejurnal.litbang.pertanian.go.id/index.php/bultro
78,Analisis Kebijakan Pertanian,S2,http://ejurnal.litbang.pertanian.go.id/index.php/akp
79,Biosfer: Jurnal Pendidikan Biologi,S2,http://journal.unj.ac.id/unj/index.php/biosfer/index
80,Tadris: Jurnal keguruan dan Ilmu Tarbiyah,S2,http://ejournal.radenintan.ac.id/index.php/tadris
81,Jurnal Ilmu Pendidikan,S2,http://journal.um.ac.id/index.php/jip
82,Journal of Tropical Soils,S2,http://journal.unila.ac.id/index.php/tropicalsoil/index
83,EKUITAS : Jurnal Ekonomi dan Keuangan,S2,https://ejournal.stiesia.ac.id/ekuitas
84,Jurnal Ilmiah Pendidikan Fisika Al-Biruni,S2,http://ejournal.radenintan.ac.id/index.php/al-biruni/index
85,Jurnal Agro Ekonomi,S2,http://ejurnal.litbang.pertanian.go.id/index.php/jae
86,Jurnal PEKOMMAS,S2,https://jurnal.kominfo.go.id/index.php/pekommas/index
87,The South East Asian Journal of Management,S2,http://journal.ui.ac.id/tseajm
88,International Journal on Emerging Mathematics Education,S2,http://journal.uad.ac.id/index.php/IJEME/index
89,Jurnal Wilayah dan Lingkungan,S2,http://ejournal2.undip.ac.id/index.php/jwl
90,Jurnal Pendidikan Ekonomi & Bisnis (Edisi Elektronik),S2,http://journal.unj.ac.id/unj/index.php/jpeb/index
91,LITERA,S2,http://journal.uny.ac.id/index.php/ litera
92,Jurnal Pascapanen dan Bioteknologi Kelautan dan Perikanan,S2,http://www.bbp4b.litbang.kkp.go.id/jurnal-jpbkp/index.php/jpbkp/index
93,Jurnal Teknologi Lingkungan,S2,http://ejurnal.bppt.go.id/index.php/JTL/issue/archive
94,Al-Iqtishad : Jurnal Ilmu Ekonomi Syariah (Journal of Islamic Economics),S2,http://journal.uinjkt.ac.id/index.php/iqtishad
95,Majalah Geografi Indonesia,S2,https://jurnal.ugm.ac.id/mgi
96,Jurnal ASET (Akuntansi Riset),S2,http://ejournal.upi.edu/index.php/aset
97,Jurnal Ilmiah Perikanan dan Kelautan,S2,https://e-journal.unair.ac.id/JIPK
98,SCIENTIFIC DENTAL JOURNAL,S2,http://www.scidentj.com/
99,Jurnal Legislasi Indonesia,S2,http://e-jurnal.peraturan.go.id/index.php/jli/index
100,Jurnal Pendidikan dan Kebudayaan,S2,http://jurnaldikbud.kemdikbud.go.id/index.php/jpnk
101,Jurnal Pendidikan Teknologi dan Kejuruan,S2,https://journal.uny.ac.id/index.php/jptk
102,Journal of Southeast Asian Human Rights,S2,https://jurnal.unej.ac.id/index.php/JSEAHR
103,Jurnal Ilmiah Aplikasi Isotop dan Radiasi (A Scientific Journal for the Applications of Isotopes and Radiation),S2,http://jurnal.batan.go.id/index.php/jair
104,Jurnal Konseling dan Pendidikan,S2,http://jurnal.konselingindonesia.com/index.php/jkp
105,Buletin Palawija,S2,http://ejurnal.litbang.pertanian.go.id/index.php/bulpa/issue/archive
106,Indonesian Journal of Sustainability Accounting and Management ,S2,http://unpas.id/index.php/ijsam
107,Antropologi Indonesia,S2,http://journal.ui.ac.id/index.php/jai/index
108,Media Penelitian dan Pengembangan Kesehatan,S2,http://ejournal.litbang.depkes.go.id/index.php/MPK
109,Jurnal Ilmu Komputer dan Informasi,S2,http://jiki.cs.ui.ac.id/index.php/jiki
110,JRAMathEdu (Journal of Research and Advances in Mathematics Education),S2,http://journals.ums.ac.id/index.php/jramathedu/index
111,Nadwa : Jurnal Pendidikan Islam,S2,http://journal.walisongo.ac.id/index.php/Nadwa
112,Jurnal The Messenger,S2,http://journals.usm.ac.id/index.php/the-messenger/index
113,Automotive Experiences,S2,http://journal.ummgl.ac.id/index.php/AutomotiveExperiences/index
114,Indonesian Journal of Urban and Environmental Technology,S2,https://www.trijurnal.lemlit.trisakti.ac.id/urbanenvirotech
115,Jurnal Geografi,S2,http://jurnal.unimed.ac.id/2012/index.php/geo
116,JPBI (JURNAL PENDIDIKAN BIOLOGI INDONESIA),S2,http://ejournal.umm.ac.id/index.php/jpbi/index
117,Al-Jabar: Jurnal Pendidikan Matematika,S2,http://ejournal.radenintan.ac.id/index.php/al-jabar/index
118,Jurnal Teknik Industri,S2,http://ejournal.umm.ac.id/index.php/industri
119,Buletin Palma,S2,http://ejurnal.litbang.pertanian.go.id/index.php/palma
120,Jurnal Kependidikan: Penelitian Inovasi Pembelajaran,S2,http://journal.uny.ac.id/index.php/jk
121,Nyimak : Journal of Communication,S2,http://jurnal.umt.ac.id/index.php/nyimak
122,Jurnal PIKOM (Penelitian Komunikasi dan Pembangunan),S2,https://jurnal.kominfo.go.id/index.php/jpkp
123,Jurnal Elemen Program Studi Pendidikan Matematika STKIP Hamzanwadi Selong,S2,http://e-journal.hamzanwadi.ac.id/index.php/jel
124,Jurnal Penyuluhan,S2,http://journal.ipb.ac.id/index.php/jupe
125,Jurnal Teknologi dan Sistem Komputer,S2,https://jtsiskom.undip.ac.id/index.php/jtsiskom/index
126,KURIOS (Jurnal Teologi dan Pendidikan Agama Kristen),S2,http://www.sttpb.ac.id/e-journal/index.php/kurios
127,Journal of Contemporary Islam and Muslim Societies,S2,http://jurnal.uinsu.ac.id/index.php/JCIMS/index
128,Journal of Indonesian Economy and Business,S2,http://jurnal.ugm.ac.id/jieb/index
129,Jurnal Pendidikan Usia Dini,S2,http://journal.unj.ac.id/unj/index.php/jpud/
130,Jurnal Ners,S2,http://e-journal.unair.ac.id/index.php/JNERS/index
131,Kapata Arkeologi,S2,http://kapata-arkeologi.kemdikbud.go.id/index.php/kapata
132,Register: Jurnal Ilmiah Teknologi Sistem Informasi,S2,http://www.journal.unipdu.ac.id/index.php/register/index
133,Jurnal Studi Komunikasi,S2,http://ejournal.unitomo.ac.id/index.php/jsk
134,Jurnal Jaffray,S2,http://ojs.sttjaffray.ac.id/index.php/JJV71
135,IJCCS (Indonesian Journal of Computing and Cybernetics Systems) ,S2,https://jurnal.ugm.ac.id/ijccs
136,Signifikan : Jurnal Ilmu Ekonomi,S2,http://journal.uinjkt.ac.id/index.php/signifikan
137,JEELS (Journal of English Education and Linguistics Studies),S2,https://jurnal.iainkediri.ac.id/index.php/jeels/index
138,Jurnal Penelitian Hukum De Jure,S2,http://ejournal.balitbangham.go.id/index.php/dejure
139,Buletin Psikologi,S2,https://jurnal.ugm.ac.id/buletinpsikologi
140,Jurnal Ketahanan Nasional,S2,http://jurnal.ugm.ac.id/jkn
141,Infinity,S2,http://e-journal.stkipsiliwangi.ac.id/index.php/infinity
142,Jurnal Kajian Komunikasi ,S2,http://jurnal.unpad.ac.id/jkk
143,Jurnal Gizi Klinik Indonesia,S2,https://jurnal.ugm.ac.id/jgki
144,IJHN : Indonesian Journal of Human Nutrition,S2,http://ijhn.ub.ac.id/index.php/ijhn/index
145,Register Journal,S2,http://ijims.iainsalatiga.ac.id/index.php/register
146,Scientific Journal of Informatics,S2,https://journal.unnes.ac.id/nju/index.php/sji/index
147,Jurnal Pengolahan Hasil Perikanan Indonesia,S2,http://journal.ipb.ac.id/index.php/jphpi
148,Jurnal Riset Pendidikan Matematika,S2,http://journal.uny.ac.id/index.php/jrpm
149,Etikonomi,S2,http://journal.uinjkt.ac.id/index.php/etikonomi
150,Jurnal Teknologi Informasi dan Ilmu Komputer ,S2,http://jtiik.ub.ac.id/index.php/jtiik
151,Economica: Jurnal Ekonomi Islam,S2,http://journal.walisongo.ac.id/index.php/economica/index
152,Jurnal Hortikultura,S2,http://ejurnal.litbang.pertanian.go.id/index.php/jhort
153,International Journal of Education,S2,http://ejournal.upi.edu/index.php/ije/index
154,Indonesian Journal of Agricultural Science,S2,http://ejurnal.litbang.pertanian.go.id/index.php/ijas
155,Jurnal Hukum dan Peradilan,S2,http://www.jurnalhukumdanperadilan.org
156,Jurnal Agro Biogen,S2,http://ejurnal.litbang.pertanian.go.id/index.php/ja
157,Jurnal Profesi Humas,S2,http://jurnal.unpad.ac.id/profesi-humas/index
158,International Research Journal of Business Studies,S2,http://www.irjbs.com/index.php/jurnalirjbs/issue/archive
159,IJEIS (Indonesian Journal of Electronics and Instrumentation Systems),S2,https://jurnal.ugm.ac.id/ijeis
160,Jurnal Kefarmasian Indonesia,S2,http://ejournal.litbang.depkes.go.id/index.php/jki
161,Udayana Journal of Law and Culture,S2,https://ojs.unud.ac.id/index.php/UJLC/index
162,LAW REFORM,S2,http://ejournal.undip.ac.id/index.php/lawreform/index
163,Journal of Education and Learning,S2,http://journal.uad.ac.id/index.php/EduLearn
164,JPPPF (Jurnal Penelitian dan Pengembangan Pendidikan Fisika),S2,http://journal.unj.ac.id/unj/index.php/jpppf
165,Jurnal Gizi Indonesia (The Indonesian Journal of Nutrition),S2,https://ejournal.undip.ac.id/index.php/jgi/index
166,Jurnal Penelitian Fisika dan Aplikasinya (JPFA),S2,https://journal.unesa.ac.id/index.php/jpfa/index
167,Jurnal Kajian Bimbingan dan Konseling,S2,http://journal2.um.ac.id/index.php/jkbk
168,Bali Medical Journal,S2,https://balimedicaljournal.org/index.php/bmj
169,Jurnal Penelitian dan Evaluasi Pendidikan,S2,http://journal.uny.ac.id/index.php/jpep/index
170,Ketenagalistrikan dan Energi Terbarukan,S2,http://ketjurnal.p3tkebt.esdm.go.id/index.php/ket
171,Jurnal Perempuan,S2,http://www.indonesianfeministjournal.org
172,Ilmu Dakwah: Academic Journal for Homiletic Studies,S2,http://journal.uinsgd.ac.id/index.php/idajhs
173,Khazanah Informatika: Jurnal Ilmu Komputer dan Informatika,S2,http://journals.ums.ac.id/index.php/khif
174,Binus Business Review,S2,https://journal.binus.ac.id/index.php/BBR/index
175,Jurnal Penelitian Perikanan Indonesia,S2,http://ejournal-balitbang.kkp.go.id/index.php/jppi
176,AKRUAL: JURNAL AKUNTANSI,S2,https://journal.unesa.ac.id/index.php/aj/index
177,Humanus: Jurnal Ilmiah Ilmu-ilmu Humaniora,S2,http://ejournal.unp.ac.id/index.php/humanus
178,Naditira Widya,S2,https://naditirawidya.kemdikbud.go.id/index.php/nw
179,Jurnal Ilmiah Peuradeun,S2,http://journal.scadindependent.org/index.php/jipeuradeun
180,Cendekia: Jurnal Kependidikan dan Kemasyarakatan,S2,http://jurnal.stainponorogo.ac.id/index.php/cendekia/index
181,Ikonomika : Jurnal Ekonomi dan Bisnis Islam,S2,http://ejournal.radenintan.ac.id/index.php/ikonomika
182,Jurnal Kelautan Tropis,S2,https://ejournal2.undip.ac.id/index.php/jkt/index
183,Jurnal Kesehatan Lingkungan Indonesia,S2,https://ejournal.undip.ac.id/index.php/jkli/index
184,Psikohumaniora: Jurnal Penelitian Psikologi,S2,http://journal.walisongo.ac.id/index.php/Psikohumaniora/index
185,Jurnal Kebijakan Perikanan Indonesia,S2,http://ejournal-balitbang.kkp.go.id/index.php/jkpi/index
186,JURNAL BIOEDUKATIKA,S2,http://journal.uad.ac.id/index.php/BIOEDUKATIKA/
187,Jurnal Komunikasi ASPIKOM,S2,http://jurnalaspikom.org/index.php/aspikom
188,Jurnal Kawistara Jurnal Ilmu Sosial dan Humaniora,S2,http://jurnal.ugm.ac.id/kawistara
189,Journal of Educational Science and Technology,S2,http://ojs.unm.ac.id/index.php/JEST/index
