journal_no,journal_id,journal_name,journal_accreditation,journal_url
4551,/journals/detail/?id=3923,Jurnal Ilmu Manajemen dan Bisnis,S5,http://ejournal.upi.edu/index.php/mdb/
4552,/journals/detail/?id=5850,Jurnal Kesehatan Indra Husada,S5,http://ojs.stikesindramayu.ac.id/index.php/JKIH
4553,/journals/detail/?id=6414,Iqtishodiyah,S5,https://ejournal.inzah.ac.id/index.php/iqtishodiyah
4554,/journals/detail/?id=6471,Journal Civics and Social Studies,S5,https://journal.institutpendidikan.ac.id/index.php/journalcss
4555,/journals/detail/?id=6159,Jurnal Media Hukum dan Peradilan,S5,https://ejournal-pps.unsuri.id/index.php/jmhp/index
4556,/journals/detail/?id=6426,"Santhet: Jurnal Sejarah, Pendidikan dan Humaniora",S5,https://ejournal.unibabwi.ac.id/index.php/santhet/index
4557,/journals/detail/?id=6052,Jurnal Collase (Creative of Learning Students Elementary Education),S5,https://journal.ikipsiliwangi.ac.id/index.php/collase
4558,/journals/detail/?id=5485,Teknobiz : Jurnal Ilmiah Program Studi Magister Teknik Mesin,S5,http://journal.univpancasila.ac.id/index.php/teknobiz
4559,/journals/detail/?id=6586,Jurnal Optimalisasi,S5,http://jurnal.utu.ac.id/joptimalisasi
4560,/journals/detail/?id=5358,Jurnal Pengembangan Penyuluhan Pertanian,S5,http://jurnal.polbangtanyoma.ac.id/index.php/jp3
4561,/journals/detail/?id=6514,JURNAL TAHURI,S5,https://ojs3.unpatti.ac.id/index.php/tahuri
4562,/journals/detail/?id=5557,Jurnal Kesehatan Karya Husada,S5,http://jurnal.akeskhjogja.ac.id/index.php/jkkh
4563,/journals/detail/?id=4645,Wayang Nusantara: Journal of Puppetry,S5,http://journal.isi.ac.id/index.php/wayang
4564,/journals/detail/?id=4469,Jurnal Aplikasi Akuntansi,S5,http://jaa.unram.ac.id/index.php/jaa/index
4565,/journals/detail/?id=5857,Jurnal Litbang Provinsi Jawa Tengah,S5,http://ejournal.bappeda.jatengprov.go.id/index.php/litbangjateng
4566,/journals/detail/?id=6344,Jurnal Kesehatan Holistic,S5,http://ejournal.akperhusada.ac.id/index.php/jkh
4567,/journals/detail/?id=6198,Jurnal Ilmiah Telaah,S5,http://journal.ummat.ac.id/index.php/telaah
4568,/journals/detail/?id=6412,AL-FIKR: Jurnal Pendidikan Islam,S5,https://jurnal-tarbiyah.stainsorong.ac.id/index.php/alfikr
4569,/journals/detail/?id=5476,JRK (Jurnal Riset Komunikasi),S5,http://jurnal.untirta.ac.id/index.php/JRKom
4570,/journals/detail/?id=6398,Widyadari : Jurnal Pendidikan,S5,https://ojs.ikippgribali.ac.id/index.php/widyadari
4571,/journals/detail/?id=4354,Jurnal Ilmu dan Teknologi Kesehatan,S5,http://stikeswh.ac.id:8082/journal/index.php/jitk
4572,/journals/detail/?id=4960,Jurnal Ilmu dan Teknologi Perikanan Tangakap,S5,https://ejournal.unsrat.ac.id/
4573,/journals/detail/?id=5724,Educan : Jurnal Pendidikan Islam,S5,https://ejournal.unida.gontor.ac.id/index.php/educan/index
4574,/journals/detail/?id=5306,Tarling : Journal of Language Education,S5,http://ejournal.iainpurwokerto.ac.id/index.php/tarling
4575,/journals/detail/?id=5713,Alpen: Jurnal Pendidikan Dasar,S5,http://alpen.web.id/index.php/alpen
4576,/journals/detail/?id=5479,"Widya Genitri : Jurnal Ilmiah Pendidikan, Agama dan Kebudayaan Hindu",S5,http://jurnal.stahds.ac.id/widyagenitri
4577,/journals/detail/?id=5689,'A Jamiy : Jurnal Bahasa dan Sastra Arab,S5,http://jurnal.stahds.ac.id/widyagenitri
4578,/journals/detail/?id=4745,Kappa Journal,S5,http://e-journal.hamzanwadi.ac.id/index.php/kpj
4579,/journals/detail/?id=5154,Dialektika,S5,http://journal.unla.ac.id/index.php/dialektika
4580,/journals/detail/?id=5135,Jurnal Ilmiah Kesehatan Sandi Husada,S5,https://akper-sandikarsa.e-journal.id/JIKSH
4581,/journals/detail/?id=2677,Journal of Indonesian Public Administration and Governance Studies,S5,http://jurnal.untirta.ac.id/index.php/JIPAGS/issue/view/268
4582,/journals/detail/?id=6425,Agroindustrial Technology Journal,S5,https://ejournal.unida.gontor.ac.id/index.php/atj/index
4583,/journals/detail/?id=5761,"Jurnal Fokus Elektroda : Energi Listrik, Telekomunikasi, Komputer, Elektronika dan Kendali",S5,http://ojs.uho.ac.id/index.php/JFE
